<p class="cnnBodyText"><br/>
###START
Name: WOLF BLITZER ( CNN ANCHOR) ; Gender: male ; Race:  caucasian ; Dialogue:   Ivan Watson, with that report thanks very much.  That's it for me.  Erin Burnett "OutFront" starts right now.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   No, I don't care what they say.  I think it's fun -- you know what I really could care less what the Trump White House has to say about me.  They have a President, as you know, what was your poll that you produced last week, Erin?  What is he at 38%?
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   You're talking about his approval rating?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes, his approval rating.  So any of them to criticize me, I could tell you, if Roger and me were in there, Trump would be at 55%.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Roger Stone? 
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes, Roger Stone.  So whatever they want to say they can say whatever they want about me, I don't care.  Once again, I would say, they're doing a terrible job for him.  And they've been doing terrible job since he's been alive
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Are they trying to do some coordinated hit job on you by reaching out to reporters and saying those things about your state of mind today?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I don't know.  This is the first thing -- this is the first time I've heard about this.  They are more than -- they can do whatever they want.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Well I want you to give a chance to response because I think it is something people are talking about and I think it's important that you have a chance to respond to it, Sam.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I would once again say that Sarah Huckabee is a terrible press officer.  That Trump has a 38% approval rating.  That the Republicans are going to lose the House in the midterms and that's a fact.  And they can say whatever they want about me.  They've treated Roger and me terribly.  Now, Roger won't say that.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   No, he won't.  As the matter of fact that's not what he said at all today.  He referred when we reached out to him about what you've been saying, right?  That he's been treated terribly.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes, what did he say?
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   I'm just going to look for his exact quote.  He said that I was briefly part of the Trump campaign and have been the President's friend and advisor for decades.  
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes, he was.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   He didn't all say that he is been treated terribly.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   But he was, but he was.  And the minute your former colleague, by the way to me it's a joke that your network hired him. But the minute your former colleague was hired -- 
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Who are you talking about?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Corey Lewandowski.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   OK.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Former campaign chief.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Former campaign -- yes, campaign chief.  Which was a joke in itself, I mean after he was going to get fired from AFP in New Hampshire.  But the minute he was hired there were two separate rules for people like Roger and me and people like Lewandowski.  Now, I can tell you as we have discussed before, I came up with the wall.  I came up with a lot of that messaging.  Corey didn't come up of anything --
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   What do you mean two separate sets of rules?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   There are two separate rules.  Trump decided that he was always going to treat Roger and me in a very bad way and he going to treat Corey, his special Corey, in a different way because he valued him more.  Now that could have been something I learned after working for him, but yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Why is Roger not giving the same message as you are tonight then?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I don't know.  I don't know and I haven't spoken to him in a week.  I don't know.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   When is the last time you spoke to the President and he did an interview?  What was it February 28 on MSNBC?  You did an interview?  And you said Trump saw that interview, did you have chance to speak with him, did you two spoke into -- when is the last time you spoken to him?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I have not spoken to Donald Trump since a week before he swore into the presidency.  Then I would say, once again, I know he may not value this or whatever but I'm a supporter of his despite what he thinks.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   You're a supporter even though you're raving about his 30 something percent approval rating and how horrible --
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I think he should with doing better.  I think he's done very good things on foreign policy.  I think the economy is doing well.  I don't like, Erin, he's spending money like a drunken sailor.  I've never seen something like this and I don't know why because we have a 3 % GDP.  He shouldn't be doing this.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   I want to just talk a bit more about this.  We have now the actual subpoena which I know you've provided us.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes. BURNETT:  OK.  So the subpoena asked for information, your e-mails, your text, your communications with various people 10 people in fact.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Carter Page, I never talked to Carte Page.  I think I talked to Corey Lewandowski after November 1st?  October 15.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   So Carter, Corey, The president, Hope Hicks, Keith Schiller his --
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   -- bodyguard is not a full word to describe it, but he also played that role, close advisor, Michael Cohen, his personal lawyer, Paul Manafort, Rick Gates, Roger Stone and Steve Bannon.  Are there any of those people that you'd be willing to?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Here is what I'd be willing to do and I've thought about this in a previous interview.  I would be willing to go in for testimony.  I want it to be fair.  I don't want them to target Roger. They could be targeting -- what I think is -- look Paul Manafort, Rick Gates, crooks.  They were crooks, they didn't pay taxes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   And not been charged.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I believe that they were crooks.  And I've heard they have been very loose about money.  What I'm not going to have is to help Mueller's team target Roger Stone.  Roger is my mentor.  Roger is like a surrogate father to me.  And I'm not going to do it.  I'm not going to do it.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Why though fall on the sword for someone else?  And I asked that very specifically.  OK, Susan McDougal and look you remember her, right?  But she was involved McDougal -- I'm sorry, was involved in the White Water investigation, right?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   She did not comply with the grand jury subpoena. 2 NUNBERG:  Yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   She went to prison for 18 months.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Mueller is not going to send me to prison for this.  This is ridiculous, look at this.  Carter Page, I never spoke to Carter Page.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Well, then why wouldn't you be happy to provide your communications if there aren't any?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Because I'm not going to go over when I have 15 e-mails a day with Roger Stone --
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   And Steve Bannon.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   -- and Steve Bannon and have to spend 80 hours.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK, but what I don't understand is --
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   You know what?
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   You could go to prison for this, OK?  And if the communications do not show collusion with the Russians --
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Right.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   -- why wouldn't you just go in and testify about them?  What do they show that you're so embarrassed of?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   They show nothing that I'm so embarrassed.  You know, -- but I don't believe 
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   You said earlier that you talk about people that you hate.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   OK, it's fine.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Are there discouraging things you're just embarrassed, you were talking smack about others or what?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   No, no, that's not the reason.  What I don't like and this is a separate issue.  Listen, I always find, Erin, that there are two separate rules for Republicans and Democrats.  Why did they not ask Hillary Clinton and Hillary Clinton's folks to produce these e-mails?
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   In fact they will.  But I mean I know you've been bringing that point up today.  And that would be a separate investigation.  OK, that was the end fine, you can talk about that, but right now we're talking about the specific investigation about the Donald J. Trump and collusion to the Russian.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Ones again, Donald Trump did not collude with the -- Vladmir Putin is too smart to collude with Donald Trump.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Do you currently have a lawyer? 
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes.  I have a very good lawyer.  Patrick Brackley.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK.  What has Patrick told you?  Is he happy about these interviews today?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   About the interviews, no.  He didn't know about any of this until I did it.  And what happened was that I had a 3:00 p.m. deadline, Erin.  And I was going -- 
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   To respond to Mueller?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   To respond.  But they sent this to me on Friday.  Who am I? Am I some crook?  Ones again, Trump fired me within six weeks of the campaign.  By the way, after I saved him when criticize McCain that was Roger and me, but in any event --
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   So, did you response -- I just want to be clear here 3:00 p.m.  So you did want to -- did hit the deadline before 3:00 p.m. and you told him no? NUNBERG:  No.  I started looking ahead of it --
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   You had a deadline and you didn't --
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I started looking at this.  I've started going over my e- mails and I was like this is ridiculous.  What do I have to hand over all my e-mails to a federal investigator and why because they don't like me, because they don't like Roger Stone, they don't like Steve Bannon, they don't like Michael Cohn?  When did I talk to Michael Cohn after I was fired? It's ridiculous.  November 1, 2015.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   I still don't understand, if you don't have communications with any of these people, why you would have something to hide?  And then the ones that you do --
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I have nothing to hide.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   If all of this is personally disparaging information about other people which I presume is there as it would be in most people's text, so what?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   First of all, I don't have --
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   What I don't understand is why you'd be willing to go to prison, Sam?  I think that's what's confounding.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I'm not going to get sent to prison.  You think I'm going to get sent to prison?
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   How do you know that?  I mean someone has been before.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   One person, fine.  You're mentioning from a long time ago. Do you think Robert Mueller is going to send me to prison, Erin, for this?
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   I don't know.  But he certainly would be within his rights. And I'm certainly you've been thumbing your nose at him all day.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   You know, what really upset me?
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   What?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Here is what upset me, is that I went and spoke with their investigators who are highly professional.  They've only said nice things about their investigation.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Yes, you said they were.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   They were extremely professional and it really showed me, by the way, I was very impressed that this was the government, you know, the government runs.  This was like a white-shoe law firm.
And I sat there and I spent that, now they want me to go back.  I've just spent more money to go to D.C., I have to more money on legal bills and I have to go sit -- am I allowed to earn a living?
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   So is this about money?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   No.  It's about the fact that I don't think it's right.  And also, I don't think it's right, once again, I don't think it's right in regards to the way Hillary Clinton was treated by the FBI.  And now let's be honest.  I've said to you repeatedly, not to you -- well we spoke the other day.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Yes, we've spoken before, you brought that.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I said that Trump, Trump caused this investigation.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Yes, you have said that.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Trump cause the investigation, Trump gave a less (INAUDIBLE), Trump had the Russians in later that week.  That's fine. But why do -- I mean do you know the way I've been treated by Donald Trump?  I mean I hate the guy.  OK, so for me --
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Is there's something that we don't know about how he treated you?  Something just private I mean other than the fact that, you know, publicly he fired you they say to the Facebook, is there some kind of conversation or something that you could tell us about?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I was told I was not going to get fired when those Facebook posts were released.  Now at that point I thought that Corey Lewandowski and Hope Hicks had released them.  I was told I was not going to get fired.  I was then called that morning when Donald Trump did Sunday interviews with the Sunday shows.
And you could see this, he did those interviews.  And then Trump called me afterwards to tell me I was being fired and that they were issuing a press release.  And he called me a low level part-time consultant.  I was being laughed at for years.  I supported him.  Like he was like -- I shouldn't have been but he was like a father to me. And he treated me like that when he fired me and he let Corey Lewandowski and Hope Hicks collude -- and by the way, mysteriously, Erin, then Corey's -- then Trump's cell phone is released the next day.  What a coincidence, right?  It was released on a Monday after I was fired on a Sunday.  I was told ones again, Trump told me, he told me in that conversation he was going to keep it quite.  
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Trump told you personally?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes.  And then Corey called multiple reporters.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   So Trump said keep this quiet.  Then he referred to you as a low-level --
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   And he let them draft that statement.  And by the way, I want to say you this.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   So is this pay back to him for treating you so badly?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Payback for him was I worked for Ted Cruz.  I mean let's get it out.  I worked for Ted Cruz.  I endorsed Ted Cruz.  But I did that at the point where he was going around campaigning with Chris Christie who got around five votes in New Hampshire and he was going to allow him to run his campaign and then he announced that Chris Christie was going to run the transition which was a joke in itself to me.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Do you have immunity?  Were you offered immunity by Bob Mueller's team?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   They say you're not a subject or target.  Now when you go in there what they say is as long as you tell the truth anything else you tell them, you're not going to get charged for.  And I told them all the truth.  I mean that was -- and once again they were very, very good when I went in there.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   So everything you've told them they say they will not charge you for?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK.  So back to this point about the texts.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Text, I don't even have text anymore.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Why would they can get them from your service provider?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   And there was unhappy to.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   And you know what I was thinking about today, by the way, I was thinking to save time, I've been advised against this.  Maybe I'll just give them my password.  My e-mail password because why do I have to go.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   So then you're going to comply?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Then I would comply, yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   So now you're saying you might comply.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I have no problem of complying in itself.  But I'm going to do is sit, Erin, for 15 hours after I've sat with them.  I have no problem if they get the e-mails.  Ones again Carter Page, never.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Is there more to these two pages to the subpoena, is there anything else that you received?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   No.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   This is the only communication that you talked on them --
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   And there's something else I didn't get from my attorney that they say that you have to show up to the grand jury next Friday. This Friday.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   This Friday.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes. BURNETT:  So five, six, seven, eight, March 9th.  You're supposed to show up in front the grand jury on March 9th.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   That's what I've been told by my lawyer, yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK, and to your knowledge he did not respond either before 3:00 p.m. today.  She's just been watching -- you didn't taking to him today?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I tried to contact but they didn't call me back.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   OK.  So on these texts you're -- Bharara, the former U.S. attorney, you know, he's been twitting about you today.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   What did he said?
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   He said "I'm prepared to bet special Mueller's team already has Sam Nunberg's e-mails".
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I hope they do.  Then why do I have to do that -- why do I have sit here for 15 hours and do it like I'm a paralegal?  I did this work after I graduated college before I went to law school.  Why do I have to sit here and produce these things?
I can tell you, Erin, that Steve Bannon or Roger Stone, I e-mailed with them like 30 times day.  It's how we communicate.  So I'd have to sit there and, you know, save everything.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   Well, they've -- that's going to be save somewhere.  What you're saying is you're willing -- so then -- that you're assuming perhaps, right, that they have all these communications.  You're just unwilling to answer questions in front of a grand jury.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I'm not going to answer questions in front of a grand jury if they do not explain to me why I have to go in there.  Because the idea that, once again, that Donald Trump colluded with Russia is a joke.  Vladimir Putin is too smart to collude with Donald Trump. Donald Trump couldn't keep his mouth shut if Putin colluded with him.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   All right.  So I know the FBI investigators ask you a lot of questions about that specifically.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   How do you know Donald Trump would not collude with the Russians or allow others around him to do that?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   You know, there was an issue when Trump said that he liked Putin being in Syria.  If you have recalled this in the beginning of the election and he said that.  And we discussed this.
First of all it was inherent that Trump understood because he's a very good understanding of middle America that average Americans at that point where we're not going to remember -- remember ISIS was chopping off American's heads at that point.  Barack Obama was pretty pathetic. He had withdrawn from Iraq.  This is my opinion. BURNETT:  Right.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   He had withdrawn from Iraq and we had watched ISIS take over this wide wrath of land.  And Trump said, I think Putin will do a better job basically against the ISIS over Donald Trump -- over Barack Obama.  And I said -- at that point, I said look, it could be a problem.
People like Marco Rubio will come out against us.  Jeb Bush that were being very anti-Russian.  On the other hand, Rand Paul, Ron Paul -- Ron Paul-Rand Paul supporters wouldn't.  And once again as I said because Barack Obama was so weak against ISIS for the Republican primary electric (ph), it wouldn't be so bad if Trump took that position.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   So, specifically I know that you have said that you do think that they have something on Donald Trump?
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   Yes.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   And the investigators.
Name: NUNBERG ; Gender: female ; Race:  caucasian ; Dialogue:   I don't know what it is.
Name: BURNETT ; Gender: male ; Race:  caucasian ; Dialogue:   From the interview.  But you're confident in that.  So what made you feel that way?
